question_text,question_type,options,correct_answers,marks,explanation
What is the primary characteristic of cloud computing?,MCQ,"a) On-demand self-service, b) Resource pooling, c) Rapid elasticity, d) Measured service",a) On-demand self-service,2,Cloud computing allows users to provision and manage computing resources automatically without human intervention.
Which cloud service model provides the most control to the user?,MCQ,"a) SaaS, b) PaaS, c) IaaS, d) DaaS",c) IaaS,2,"Infrastructure as a Service (IaaS) offers the most control, providing virtualized computing resources over the internet."
Which of the following is an example of Platform as a Service (PaaS)?,MCQ,"a) Amazon EC2, b) Google App Engine, c) Dropbox, d) Microsoft Office 365",b) Google App Engine,2,Google App Engine is a PaaS offering that allows developers to build and deploy applications without managing the underlying infrastructure.
In which cloud deployment model is the infrastructure shared between multiple organizations?,MCQ,"a) Private cloud, b) Public cloud, c) Hybrid cloud, d) Community cloud",d) Community cloud,2,"Community cloud shares infrastructure between several organizations with common concerns, such as security or compliance."
Which of the following is a key benefit of cloud computing?,MCQ,"a) High upfront costs, b) Scalability, c) Limited access, d) Complex management",b) Scalability,2,"Cloud computing allows resources to be scaled up or down based on demand, providing flexibility and cost efficiency."
What does SaaS stand for?,MCQ,"a) Software as a Service, b) System as a Service, c) Software and Storage, d) None of the above",a) Software as a Service,2,"SaaS delivers software applications over the internet, eliminating the need for internal infrastructure or hardware."
Which of the following is a public cloud provider?,MCQ,"a) Amazon Web Services, b) Microsoft Azure, c) Google Cloud Platform, d) All of the above",d) All of the above,2,"Amazon Web Services, Microsoft Azure, and Google Cloud Platform are leading public cloud providers offering a range of cloud services."
Which technology is fundamental to cloud computing?,MCQ,"a) Virtualization, b) Blockchain, c) Quantum computing, d) None of the above",a) Virtualization,2,"Virtualization allows multiple virtual instances to run on a single physical machine, enabling efficient resource utilization in cloud environments."
Which of the following is a characteristic of public cloud?,MCQ,"a) Dedicated resources, b) Limited scalability, c) Shared resources, d) High cost",c) Shared resources,2,Public clouds provide services over the internet with shared resources among multiple tenants.
What is the main advantage of using a hybrid cloud?,MCQ,"a) Increased security, b) Better control over data, c) Flexibility to move workloads, d) All of the above",d) All of the above,2,"Hybrid clouds combine private and public clouds, offering flexibility, improved security, and better control over data."
Which of the following is an example of Infrastructure as a Service (IaaS)?,MCQ,"a) Google App Engine, b) Amazon EC2, c) Microsoft Azure, d) Dropbox",b) Amazon EC2,2,"Amazon EC2 provides resizable compute capacity in the cloud, offering virtual servers to run applications."
Which cloud service model is best suited for developers who want to focus on writing code without managing underlying infrastructure?,MCQ,"a) SaaS, b) PaaS, c) IaaS, d) DaaS",b) PaaS,2,"Platform as a Service (PaaS) provides a platform allowing customers to develop, run, and manage applications without dealing with infrastructure."
What is the primary purpose of virtualization in cloud computing?,MCQ,"a) Increase hardware costs, b) Improve resource utilization, c) Simplify network management, d) None of the above",b) Improve resource utilization,2,"Virtualization enables multiple virtual machines to run on a single physical machine, optimizing resource usage."
Which of the following is a feature of cloud computing?,MCQ,"a) Resource pooling, b) Rapid elasticity, c) Measured service, d) All of the above",d) All of the above,2,"Cloud computing features include resource pooling, rapid elasticity, and measured service, providing efficient and scalable computing resources."
Which of the following is NOT a cloud service model?,MCQ,"a) SaaS, b) PaaS, c) IaaS, d) DaaS",d) DaaS,2,"DaaS (Data as a Service) is not a standard cloud service model; the primary models are SaaS, PaaS, and IaaS."
Which of the following is a private cloud solution?,MCQ,"a) Amazon Web Services, b) Microsoft Azure, c) OpenStack, d) Google Cloud Platform",c) OpenStack,2,OpenStack is an open-source software platform for building and managing private clouds.
Which of the following is a benefit of using cloud storage?,MCQ,"a) Limited access, b) High cost, c) Scalability, d) Complex management",c) Scalability,2,"Cloud storage offers scalable storage solutions, allowing users to increase or decrease storage capacity as needed."
Which of the following is a cloud computing security challenge?,MCQ,"a) Data breaches, b) Data loss, c) Insecure APIs, d) All of the above",d) All of the above,2,"Cloud computing security challenges include data breaches, data loss, and insecure APIs, requiring robust security measures."
Which of the following is a cloud computing deployment model?,MCQ,"a) Private cloud, b) Public cloud, c) Hybrid cloud, d) All of the above",d) All of the above,2,"Cloud computing deployment models include private, public, and hybrid clouds, each offering different levels of control and flexibility."
Which of the following is a characteristic of private cloud?,MCQ,"a) Shared resources, b) Limited scalability, c) Dedicated resources, d) High cost",c) Dedicated resources,2,"Private clouds provide dedicated resources to a single organization, offering greater control and security."
Which of the following is a cloud computing service model?,MCQ,"a) SaaS, b) PaaS, c) IaaS, d) All of the above",d) All of the above,2,"Cloud computing service models include Software as a Service (SaaS), Platform as a Service (PaaS), and Infrastructure as a Service (IaaS)."
Which of the following is a public cloud provider?,MCQ,"a) Amazon Web Services, b) Microsoft Azure, c) Google Cloud Platform, d) All of the above",d) All of the above,2,"Amazon Web Services, Microsoft Azure, and Google Cloud Platform are leading public cloud providers offering a range of cloud services."
Which of the following is a key benefit of cloud computing?,MCQ,"a) High upfront costs, b) Scalability, c) Limited access, d) Complex management",b) Scalability,2,"Cloud computing allows resources to be scaled up or down based on demand, providing flexibility and cost efficiency."
Which of the following is a cloud service model?,MCQ,"a) SaaS, b) PaaS, c) IaaS, d) All of the above",d) All of the above,2,"Cloud computing service models include Software as a Service (SaaS), Platform as a Service (PaaS), and Infrastructure as a Service (IaaS)."
Which of the following is a characteristic of public cloud?,MCQ,"a) Dedicated resources, b) Limited scalability, c) Shared resources, d) High cost",c) Shared resources,2,Public clouds provide services over the internet with shared resources among multiple tenants.
Which of the following is an example of Infrastructure as a Service (IaaS)?,MCQ,"a) Google App Engine, b) Amazon EC2, c) Microsoft Azure, d) Dropbox",b) Amazon EC2,2,"Amazon EC2 provides resizable compute capacity in the cloud, offering virtual servers to run applications."
