Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A company is hosting a public-facing web application on Oracle Cloud Infrastructure (OCI). The security team wants to protect the application from threats such as SQL injection, cross-site scripting (XSS), and other OWASP Top 10 vulnerabilities by inspecting and filtering incoming HTTP/HTTPS traffic.
Which OCI service is specifically designed to provide this type of protection?
Note: There is 1 correct answer to this question.",Single Choice,OCI Cloud Guard,"Provides cloud security posture management, detects misconfigurations and risky activities, but does not inspect or block web traffic in real time. Exam trap: Monitoring ≠ application traffic protection.",OCI Web Application Firewall (WAF),Protects internet-facing applications by inspecting HTTP/HTTPS requests and blocking common web attacks such as OWASP Top 10 vulnerabilities. Officially documented as OCI’s application-layer protection service.,OCI Data Safe,"Focuses on database security, including auditing, masking, and risk assessment, but does not protect web applications from external attacks. Exam trap: Database security ≠ web security.",OCI Identity and Access Management (IAM),"Controls authentication and authorization by managing users, groups, and policies, but does not analyze or filter application traffic. Exam trap: Access control ≠ exploit protection.",,,,,2,Internet-facing web application protection in OCI is provided by OCI Web Application Firewall (WAF).,Security Services
"A global insurance provider is migrating long-term policy documents and transaction archives to Oracle Cloud Infrastructure (OCI). These records are mission-critical and must be protected against hardware failures with the highest possible durability offered by OCI storage services. Performance is secondary to data protection and reliability.
Which OCI storage service should be selected to meet this durability requirement?
Note: There is 1 correct answer to this question.",Single Choice,OCI Block Volume,"Provides durable, persistent block storage for compute instances, designed for performance and availability, not maximum durability. Replication is limited compared to Object Storage. Exam trap: Persistent ≠ highest durability.",OCI File Storage,"Shared file system (NFS) optimized for file access, not long-term archival durability. Exam trap: Shared storage ≠ archival-grade durability.",OCI Object Storage – Standard Tier,"Designed for maximum durability of stored objects, with data replicated across multiple fault domains. Ideal for financial records, backups, and compliance archives. Explicitly documented by Oracle as providing extreme durability.",OCI Local NVMe Storage,"Physically attached to compute instances and ephemeral, meaning data is lost when the instance is terminated. Intended for high-performance temporary workloads. Classic exam trap: Fast storage ≠ durable storage.",,,,,3,The highest durability storage service in OCI is Object Storage – Standard Tier.,Core OCI Services
"A company’s cloud governance team is reviewing Oracle Cloud Infrastructure (OCI) pricing to ensure it aligns with variable workloads and cost-optimization goals. They want to confirm which statements correctly describe how OCI charges customers and provides free usage options.
Which TWO statements accurately describe the Oracle Cloud Infrastructure (OCI) pricing model?
Note: There are 2 correct answers to this question.",Multiple Choice,OCI allows customers to consume services without long-term commitments and pay based on actual usage.,"OCI follows a Pay-As-You-Go pricing model, billing customers only for the resources they actually consume, with no mandatory upfront or annual spend commitment.",OCI Free Tier offers unlimited access to all OCI services without time or usage limits.,Free Tier includes select services only and usage limits apply. Classic exam trap: Free does not mean unlimited.,OCI provides an Always Free set of resources and a limited-duration free trial with promotional credits.,"Always Free Tier is available indefinitely for select services, and new customers receive time-bound free credits. Frequently tested OCI Foundations concept.",OCI pricing is fixed and identical across all regions and services to simplify billing.,Pricing can vary by region and service. Exam trap: Global cloud ≠ identical pricing.,Universal Credits can be applied only to a single OCI service selected at purchase time.,Universal Credits can be used across multiple OCI services and are not restricted to one service. Exam trap: Misunderstanding credit flexibility.,,,"1,3",OCI pricing is based on Pay-As-You-Go usage with Always Free resources and limited-duration free trial credits.,Governance and Administration
"An IT administrator is designing a disaster recovery–aware architecture on Oracle Cloud Infrastructure (OCI). The design requires deploying application components across multiple Availability Domains (ADs) to minimize downtime caused by infrastructure failures.
Before deploying any resources, what is the FIRST and MOST critical action the administrator must take?
Note: There is 1 correct answer to this question.",Single Choice,Verify that the chosen OCI region provides more than one Availability Domain,"Availability Domains are region-specific, and some OCI regions have only a single AD. Multi-AD architectures are not possible in single-AD regions, making this a prerequisite step explicitly stated in OCI documentation.",Configure custom route tables to allow traffic between Availability Domains,"ADs within a region are connected by OCI’s high-bandwidth, low-latency network, and manual routing between ADs is not required. Exam trap: AD connectivity is automatic.",Enable Availability Domain–level redundancy on each OCI service,"AD support is service-dependent and implicit, and there is no global enable multi-AD switch. Exam trap: AD usage is architectural, not a toggle.",Allocate additional network bandwidth for cross-domain communication,"OCI manages inter-AD networking capacity, and customers do not purchase or manage AD-to-AD bandwidth. Exam trap: Cloud networking ≠ on-prem capacity planning.",,,,,1,Multi-Availability Domain design in OCI begins with selecting a region that supports multiple ADs.,Getting Started with OCI
"A regulated enterprise is deploying sensitive workloads on Oracle Cloud Infrastructure (OCI). To meet financial compliance standards, the solution must ensure that sensitive data is encrypted using customer-managed keys, access to resources is tightly controlled, and all user and API actions are fully auditable for compliance reviews.
Which combination of OCI services BEST satisfies these security, access, and audit requirements?
Note: There is 1 correct answer to this question.",Single Choice,"OCI Object Storage with default encryption, public subnets, and Network Security Groups (NSGs)","Default encryption does not provide customer-managed key control, public subnets increase exposure risk, and the option lacks an audit-focused service. Exam trap: Default encryption ≠ regulatory-grade encryption control.","OCI Block Volume with platform-managed encryption, IAM users only, and Cloud Guard","Platform-managed encryption limits customer control, Cloud Guard focuses on posture monitoring rather than audit trails, and IAM users alone do not satisfy full access governance. Exam trap: Monitoring ≠ auditing.","OCI Vault for key management, OCI Identity and Access Management (IAM) for access control, and OCI Audit for activity tracking","OCI Vault enables customer-managed encryption keys, OCI IAM enforces least-privilege access policies, and OCI Audit records all API calls and configuration changes. This combination aligns exactly with financial and regulatory compliance requirements and is explicitly recommended in Oracle security architecture guidance.","OCI File Storage, Internet Gateway, and Service Gateway","File Storage is not a security service, and gateways provide connectivity rather than encryption or auditability. Exam trap: Networking ≠ compliance controls.",,,,,3,"Regulatory compliance in OCI requires Vault for encryption, IAM for access control, and Audit for full traceability.",Security Services
"A global entertainment provider is modernizing its on-demand video platform on Oracle Cloud Infrastructure (OCI). The platform must scale automatically during peak viewing hours, deliver video content with minimal latency to users worldwide, and remain highly available across geographic regions.
Which combination of Core OCI services BEST meets these performance, scalability, and global distribution requirements?
Note: There is 1 correct answer to this question.",Single Choice,Run the entire platform on OCI Autonomous Database to leverage built-in scaling and high availability for video delivery.,Autonomous Database is designed for structured transactional or analytical data and is not suitable for video streaming or media delivery. Exam trap: Auto-scaling databases ≠ content delivery platforms.,"Deploy application services on OCI Compute instances, use OCI Content Delivery Network (CDN) for global low-latency delivery, and store media assets on OCI Object Storage.","OCI Compute handles application logic and scaling, OCI CDN delivers content from edge locations close to viewers to minimize latency globally, and OCI Object Storage provides highly durable storage for video files. This is the recommended reference architecture for media streaming workloads.",Use OCI FastConnect to establish private connections from OCI directly to end users for video streaming traffic.,FastConnect is designed for private enterprise connectivity and does not provide global edge caching or consumer internet delivery. Exam trap: Private network ≠ global content delivery.,Host all video content exclusively in OCI Object Storage and rely on its regional redundancy for performance and availability.,Object Storage ensures durability and availability but does not provide edge caching or low-latency global delivery. Exam trap: Storage redundancy ≠ streaming performance.,,,,,2,"Global video streaming on OCI requires Compute, CDN, and Object Storage working together.",Core OCI Services
"A multinational enterprise is designing a warm-standby disaster recovery architecture on Oracle Cloud Infrastructure (OCI). Compute instances, storage, and networking resources are provisioned in both the primary region and a secondary region, where resources remain idle but ready for failover. The finance team wants to understand the cost implications of this design.
Which statement BEST explains how OCI pricing applies to this multi-region DR architecture?
Note: There is 1 correct answer to this question.",Single Choice,Only the primary region incurs charges; resources in the standby region are free until activated.,"OCI bills for all provisioned resources, and standby or idle resources still consume capacity. Classic exam trap: Standby ≠ free.","OCI charges a fixed global rate for all services, regardless of the region or usage pattern.","Pricing can vary by region and service, and OCI does not offer uniform global pricing. Exam trap: Global presence ≠ identical pricing.","Resources provisioned in both regions are billed under a Pay-As-You-Go model, even if the standby resources are lightly used.","OCI uses usage-based pricing, and costs apply to compute instances, storage volumes, and networking components in both primary and DR regions. Explicitly documented in OCI pricing guidance.",Multi-region deployments require prepaid capacity reservations to control disaster recovery costs.,"Capacity reservations are optional, and OCI does not mandate prepaid commitments for DR. Exam trap: Optional feature ≠ pricing requirement.",,,,,3,"In OCI, all provisioned resources in multi-region DR architectures are billed under Pay-As-You-Go pricing.",Governance and Administration
"A payment processing startup is building a real-time risk scoring platform on Oracle Cloud Infrastructure (OCI). The platform must process thousands of transactions per second with millisecond latency, automatically scale during peak usage, and support built-in analytics and machine learning to detect anomalous behavior. Which OCI database service BEST meets these performance, scalability, and intelligent analytics requirements?",Single Choice,OCI MySQL Database Service,"Managed relational database, but: Requires manual tuning and scaling; Limited built-in analytics and ML integration; Not optimized for enterprise-grade, high-throughput OLTP at scale; Exam trap: Managed ≠ autonomous",OCI Autonomous Data Warehouse (ADW),Optimized for: Analytical queries; Reporting and BI workloads; Not designed for real-time transactional processing; Classic exam trap: Analytics ≠ transactions,OCI NoSQL Database,Excellent for: Key-value and document workloads; Massive horizontal scale; Lacks native SQL-based analytics and tight ML integration expected in fraud detection platforms; Exam trap: High scale ≠ best fit for transactional + analytics mix,OCI Autonomous Transaction Processing (ATP),"Purpose-built for: Low-latency, high-throughput OLTP; Automatic scaling and tuning; Integrated with: OCI Analytics; OCI Data Science and ML services; Ideal for real-time fraud detection and financial transactions; Explicitly positioned by Oracle for mission-critical transactional workloads; Correct",,,,,4,"When real-time transactions, low latency, automatic scaling, and integrated analytics or ML are required, OCI Autonomous Transaction Processing (ATP) is the correct database choice.",Core OCI Services
"An enterprise is hosting multiple independent application projects on Oracle Cloud Infrastructure (OCI). Each development team must be able to manage and access only the cloud resources related to its own application, while central administrators retain overall visibility and control. The organization wants to enforce least-privilege access without impacting other projects. Which OCI feature BEST enables this level of secure resource isolation and access control?",Single Choice,Compartments,"Compartments are logical containers for OCI resources; Used directly in IAM policies to restrict access, delegate administration, and separate projects, teams, or environments; Enable least-privilege access per application or department; Defined by Oracle as the foundation of OCI governance; Correct",Availability Domains,Provide physical fault isolation within a region; Do not control access or resource visibility; Exam trap: High availability ≠ access management,Virtual Cloud Networks (VCNs),Control network connectivity and isolation; Resources in the same compartment can span multiple VCNs; VCNs do not enforce IAM access boundaries; Exam trap: Network isolation ≠ identity isolation,Fault Domains,Used to protect against hardware-level failures; Operate within an Availability Domain; No role in access control or governance; Exam trap: Fault tolerance ≠ security boundaries,,,,,1,"OCI access control and least-privilege governance always start with Compartments, which define who can access what resources.",Governance and Administration
A multinational research organization stores sensitive datasets in Oracle Cloud Infrastructure (OCI). Access to these datasets must be tightly controlled so that only users with the appropriate role and authorization level can perform specific actions. The organization also wants to centrally define and enforce these rules across projects. Which OCI IAM feature should be used to enforce these fine-grained access controls?,Single Choice,Identity Federation,Enables users to authenticate using an external identity provider (IdP); Does not define what actions users are allowed to perform in OCI; Exam trap: Authentication ≠ authorization,Tagging,Used to label and organize resources; Supports cost tracking and governance; Does not enforce access permissions by itself; Exam trap: Metadata ≠ security enforcement,IAM Policies,Define authorization rules in OCI; Specify who can do what on which resources; Core mechanism for role-based and conditional access control; Explicitly documented in OCI IAM guidance; Correct,Compartments,Provide logical isolation of resources; Used as boundaries referenced by policies; Do not themselves define access permissions; Exam trap: Isolation ≠ authorization logic,,,,,3,IAM Policies are the primary mechanism in OCI for defining and enforcing fine-grained authorization and access control.,Security Services
