Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"When defining acceptance criteria and acceptance tests for performance requirements, multiple perspectives must be considered to ensure that expectations are realistic, testable, and meaningful for acceptance decisions. Which three perspectives must be addressed? ",multiple-choice,"Role, company and functional",Incorrect: Too generic and not performance-specific. 'Functional' does not address performance concerns. Exam trap: broad organizational wording.,"Stakeholder, resources and non-technical",Incorrect: 'Non-technical' is vague and misleading. Performance testing requires strong technical consideration. Exam trap: soft wording that avoids measurable aspects.,"Profile, system and non-functional","Incorrect: 'Profile' is not a standard perspective. 'Non-functional' is a category, not a perspective. Exam trap: mixing terminology levels.","User, business and technical","Correct: User perspective -> perceived performance (e.g. response time, feedback). Business perspective -> business impact, SLAs, peak usage, risk. Technical perspective -> system capacity, infrastructure, concurrency. These three together define meaningful performance acceptance criteria. This triad is explicitly emphasized in acceptance testing for performance.",,,,,4," For performance acceptance criteria, always think in three aligned perspectives: User (perceived speed), Business (value/risk), and Technical (capacity).",Acceptance Testing for NonFunctional Requirements
A team is comparing Acceptance Test-Driven Development (ATDD) and Behavior-Driven Development (BDD) to clarify how acceptance tests are used during development. Which statement is TRUE regarding ATDD / BDD practices?,multiple-choice,"In BDD, acceptance test design is performed by testers only after requirements are finalized.","Incorrect: BDD promotes early, collaborative test design. Acceptance tests are not created after requirements are finalized. Exam trap: waterfall sequencing applied to BDD.","In both ATDD and BDD, test cases provide examples of product use; in ATDD, acceptance tests are defined before formal acceptance criteria.","Correct: In both ATDD and BDD, examples (scenarios) describe product usage. In ATDD, acceptance tests define acceptance criteria. Tests are written before development, guiding implementation. Reflects a core foundation principle of ATDD.","In both ATDD and BDD, acceptance test cases are written only as automated test code by a test automation engineer.","Incorrect: Acceptance tests are collaboratively defined, not automation-only. Automation is optional; business-readable formats are primary. Exam trap: equating ATDD/BDD with test automation.",,,,,,,2," Examples drive understanding. In ATDD, tests define criteria; in BDD, they are shared behavior specs. Automation is not mandatory.",Introduction and Foundations
"In Acceptance Test-Driven Development (ATDD), business process modeling plays a key role. On which principle is business process modeling for ATDD based?",multiple-choice,"Business analysts and testers collaboratively model workflows and business rules, and tests are derived from acceptance criteria to cover business process flows.",Correct: ATDD is based on collaboration between business and testing roles. Business process and rule models support shared understanding. Acceptance tests are derived to demonstrate coverage of business flows. Reflects the core ATDD modeling principle.,Business process and rule models are reviewed only with product owners to validate business goals.,"Incorrect: ATDD promotes broad collaboration, not product-owner-only reviews. Models are not limited to validation of goals. Exam trap: restricted collaboration.",Models are mainly used to identify when acceptance test plans must be updated and which best practices to apply.,"Incorrect: Identifying test plan changes is a secondary use, not the principle. ATDD focuses on defining expected behavior, not test planning mechanics. Exam trap: confusing outcomes with foundational principles.",,,,,,,1," Business process modeling is collaborative and supports shared understanding. Tests are derived from models, not added later.",Business Process and Business Rules Modeling
"During acceptance testing, defects are identified and communicated between testers and business analysts. Which statement regarding defect handling and collaboration is MOST correct?",multiple-choice,"If a defect is confirmed as a bug, the tester reports it directly to the business analyst for further investigation.","Incorrect: Defect reporting follows a defined defect management process, not ad-hoc escalation. Business analysts are not responsible for technical investigation. Exam trap: confusing collaboration with ownership.","Testers provide precise information on the gap between expected and actual results, and regular tester–business analyst communication is used to discuss discrepancies.","Correct: Core tester responsibility is to report clear, factual differences between expected and actual outcomes. Regular collaboration with business analysts ensures correct interpretation of business impact. Aligns with acceptance testing and collaborative practices.",Testers must first assess the business impact of a defect before informing the business analyst.,"Incorrect: Testers may support impact understanding, but business impact analysis is not a prerequisite for reporting. Delaying communication increases acceptance risk. Exam trap: assigning business responsibilities to testers.",,,,,,,2," Testers report facts (expected vs actual), while Business Analysts interpret business impact. Regular collaboration ensures correct acceptance decisions.",Collaborative Acceptance Testing
"During acceptance testing, business analysts (BAs) and testers collaborate closely but retain distinct responsibilities. Which description of their role relationship in test activities is TRUE?",multiple-choice,Testers are responsible for identifying solutions to business problems during testing.,"Incorrect: Identifying business solutions is a BA responsibility. Testers validate behavior, not design business solutions. Exam trap: reversing BA and tester responsibilities.",Business analysts review detailed test implementation procedures and scripts to keep stakeholders informed about risks.,Incorrect: Reviewing implementation scripts is too technical for the BA role. Stakeholder risk communication is not driven by script-level review. Exam trap: confusing business review with technical oversight.,Business analysts review test cases or procedures to identify ambiguities and areas requiring clarification.,"Correct: BAs ensure test cases correctly reflect business intent and rules. They help clarify unclear or ambiguous expectations, supporting accurate acceptance decisions. Aligns with collaborative acceptance testing practices.","The test leader is responsible for establishing consensus between business analysts, quality engineers, and developers.","Incorrect: Consensus-building is a shared responsibility, not owned solely by the test leader. Agile/acceptance testing emphasizes collaboration over hierarchy. Exam trap: assigning governance authority incorrectly.",,,,,3," Testers define/execute tests while Business Analysts validate business meaning and clarity. BAs review test cases for intent, not technical implementation.",Collaborative Acceptance Testing
"A quality model defines the following characteristics: Effectiveness, Efficiency, Satisfaction, Freedom from risk, Context coverage. These characteristics are used to evaluate how well a system supports users in achieving their goals in real-world conditions. Which standard defines these characteristics?",multiple-choice,ISO 25010,"Correct: Defines the Quality in Use model including Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Used extensively in acceptance testing for non-functional requirements.",ISO 9126,Incorrect: Predecessor of ISO 25010. Superseded and no longer the current reference. Exam trap: legacy standard confusion.,ISO 27034,Incorrect: Focuses on application security. Not a quality-in-use model. Exam trap: security is not quality in use.,ISO 9000,Incorrect: Quality management systems standard. Does not define software quality characteristics. Exam trap: organizational quality vs product quality.,,,,,1," For the exam, Quality in Use characteristics (Effectiveness, Satisfaction, etc.) always refer to ISO 25010.",Acceptance Testing for NonFunctional Requirements
ISO/IEC 25010 defines a Quality in Use model with clearly named sub-characteristics under its characteristics. Which element from the list below is a sub-characteristic of Quality in Use according to this standard?,multiple-choice,Convenience,Incorrect: Not defined in ISO/IEC 25010. Sounds usability-related but is non-standard terminology. Exam trap: everyday UX wording.,Validity,Incorrect: Not a Quality in Use sub-characteristic. Often confused with correctness or accuracy. Exam trap: semantic similarity without standard backing.,Economic risk mitigation,"Correct: Defined sub-characteristic under Freedom from risk. Addresses financial loss, penalties, or economic harm. Explicit ISO/IEC 25010 terminology.",Precision,Incorrect: Not a Quality in Use term. Sometimes confused with accuracy. Exam trap: technical-sounding but incorrect term.,,,,,3," ISO/IEC 25010 Quality in Use sub-characteristics include accuracy, usefulness, trust, and economic risk mitigation. Prefer exact ISO wording over common UX terms.",Acceptance Testing for NonFunctional Requirements
"ISO/IEC 25010 defines product quality characteristics and their sub-characteristics. The following sub-characteristics are mentioned: User error protection, User interface aesthetics, Accessibility. To which non-functional requirement characteristic do these sub-characteristics belong?",multiple-choice,Security,"Incorrect: Security covers confidentiality, integrity, and authentication. Does not address UI design or accessibility. Exam trap: assuming 'protection' always means security.",Reliability,"Incorrect: Reliability focuses on availability, maturity, and recoverability. Concerns system behavior over time, not user interaction. Exam trap: confusing stable operation with ease of use.",Usability,"Correct: ISO/IEC 25010 usability sub-characteristics include User error protection, UI aesthetics, and Accessibility. Focuses on how effectively and comfortably users interact with the system.",Maintainability,"Incorrect: Covers modifiability, analyzability, testability. Focuses on changing the system, not using it. Exam trap: confusing ease of use with ease of maintenance.",,,,,3," In ISO/IEC 25010 Product Quality, Usability = user error protection + UI aesthetics + accessibility. High-frequency exam pattern.",Acceptance Testing for NonFunctional Requirements
"A team practicing ATDD finds that developers struggle because Gherkin scenarios are too vague to drive implementation. During backlog refinement, what collaborative action would BEST resolve this problem?",multiple-choice,Have testers write Gherkin scenarios alone to increase technical accuracy.,"Incorrect: ATDD relies on collaboration, not isolation. Technical precision alone does not clarify business intent. Exam trap: assuming tester-only ownership improves quality.",Replace Gherkin scenarios with technical pseudo-code describing database structures.,Incorrect: Breaks the business-readable nature of ATDD. Scenarios are not meant to be technical designs. Exam trap: confusing specification with implementation.,Apply Specification by Example by enriching scenarios with concrete data and explicit expected outcomes.,"Correct: Specification by Example removes ambiguity by showing exact inputs and results. Strengthens shared understanding between business, testers, and developers. Core practice to make Gherkin actionable.",Postpone defining acceptance criteria until the end of the sprint when the code is stable.,Incorrect: ATDD requires criteria before coding. Late definition undermines the 'test-driven' principle. Exam trap: reverting to waterfall behavior.,,,,,3," When scenarios feel vague, the solution is better examples via Specification by Example, not more technical implementation detail.",Collaborative Acceptance Testing
"During acceptance testing of usability, a team wants to understand how users perceive and interact with the system in real time, including confusion, expectations, and reasoning behind actions. Which description BEST matches the walkthrough and think-aloud techniques?",multiple-choice,Users explore the system based on predefined usability checklists.,"Incorrect: Describes heuristic evaluation / checklist-based reviews. Performed by experts, not think-aloud users. Exam trap: checklist ≠ think-aloud.",User behavior is captured using biometric devices such as eye-tracking.,"Incorrect: Describes biometric-based usability testing. Focuses on physiological data, not verbal feedback. Exam trap: confusing observation with verbalization.","Users explore the system and verbalize their actions, thoughts, and impressions while using it.","Correct: Core definition of think-aloud and walkthrough techniques. Users explicitly state what they do, think, and feel. Reveals usability issues, misunderstandings, and expectations. Widely used in acceptance testing for usability validation. Correct.",Users evaluate and compare the system using structured questionnaires and scoring models.,"Incorrect: Describes questionnaires and surveys (e.g., SUS). Captures retrospective evaluation, not real-time thinking. Exam trap: evaluation after use ≠ think-aloud during use.",,,,,3," For usability techniques in acceptance testing: Think-aloud / Walkthrough → users talk while using the system. Checklists → heuristic evaluation. Biometrics → physiological measurement. Questionnaires → post-use evaluation. If the description includes users verbalizing thoughts during interaction, the answer is Think-Aloud.",Acceptance Testing for NonFunctional Requirements
