question_text,question_type,option1,option1_explanation,option2,option2_explanation,option3,option3_explanation,option4,option4_explanation,option5,option5_explanation,option6,option6_explanation,option7,option7_explanation,correct_answers,overall_explanation
Which objects are accessible within a before business rule?,single-correct,previous only,Incorrect. Before business rules also have access to the current record.,GlideRecord only,Incorrect. GlideRecord is a class used to query tables but is not the only object accessible.,All the above,Incorrect. GlideRecord is not an object passed automatically; current and previous are the main accessible objects.,current and previous,Correct. Before business rules have access to both the current and previous records to compare data.,,,,,,,4,"Before business rules have access to both the current and previous records, allowing them to compare changes before the database operation."
Which steps are part of the general process for handling events? Note: There are 3 correct answers to this question.,multiple-correct,Write a Business Rule,Incorrect. Business Rules are not necessarily part of event handling.,Add an event to the Event Registry,Correct. Events must be registered before they can be generated or responded to.,Respond to the event,Correct. Applications respond to events via actions such as Script Actions.,Generate the event,Correct. Events are generated to trigger responses.,Create a Scheduled Script Execution,Incorrect. Scheduled Script Executions are unrelated to event handling.,,,,,"2,3,4","Working with events involves registering the event, generating it, and responding to it. Scheduled jobs and business rules are separate concepts."
How does ServiceNow associate an inbound email with existing records?,single-correct,Watermark,Correct. Watermarks are unique identifiers used to link inbound emails to records.,Record link,"Incorrect. This is a general term, not a specific mechanism.",Subject Line,Incorrect. Subject lines are not reliable for matching emails to records.,sys_id,Incorrect. sys_id is a unique record identifier but is not typically used directly for email matching.,,,,,,,1,ServiceNow uses watermarks in inbound emails to match them to existing records accurately.
Which method displays a message next to a specific field on a form?,single-correct,g_form.addErrorMessage(),Incorrect. This adds an error message at the form level.,g_form.addInfoMessage(),"Incorrect. This displays a message at the top of the form, not next to a field.",g_form.addFieldMessage(),Incorrect. This method does not exist.,g_form.showFieldMsg(),Correct. This method shows a message beside a particular field.,g_form.showFieldMessage(),Incorrect. This is not a valid method.,,,,,4,g_form.showFieldMsg() is used to display messages adjacent to specific fields on a form.
Which of the following is NOT a method of the GlideUser (g_user) API?,single-correct,hasRole(),Incorrect. This method checks if the user has a specific role.,hasRoleExactly(),Incorrect. This is a valid GlideUser method.,g_user.getRole(),Incorrect. This is a valid method to get roles.,userName,Correct. userName is not a GlideUser method; the correct method is getUserName().,getFullName(),Incorrect. This is a valid method to get the user's full name.,,,,,4,"The method userName does not exist in GlideUser; correct methods include getUserName(), hasRole(), and others."
Which method is commonly used for debugging server-side scripts in a scoped application?,single-correct,gs.log(),Incorrect. gs.log() is not a valid method.,gs.debuglog(),Incorrect. This method does not exist.,gs.info(),Correct. gs.info() logs informational messages to the server logs for debugging.,gs.addInfoMessage(),Incorrect. This method is client-side and used to display messages to users.,,,,,,,3,gs.info() is the standard method for logging messages to assist debugging server-side scripts.
Which statement best defines a flow in ServiceNow?,single-correct,A sequence of activities to automate processes on the platform,Incorrect. Activities are part of workflows; flows use actions.,A sequence of steps to automate processes on the platform,Incorrect. This is vague and less precise than the correct answer.,A script that defines the steps to automate processes on the platform,Incorrect. A flow is not a script but a visual sequence of actions.,A sequence of actions to automate processes on the platform,Correct. A flow is a series of actions designed to automate processes.,,,,,,,4,A flow is a sequence of actions that automate processes within ServiceNow.
What is the name of the user-friendly interface designed for building applications in ServiceNow?,single-correct,App Engine Studio,Correct. App Engine Studio provides an intuitive interface for application development.,ServiceNow Creator,Incorrect. This is not a recognized product name.,Guided Application Creator,"Incorrect. This is a wizard for creating applications, not the full development interface.",ServiceNow Studio,"Incorrect. ServiceNow Studio is a more traditional IDE, not the intuitive interface.",,,,,,,1,App Engine Studio is the intuitive development environment for building applications in ServiceNow.
Which of the following is NOT a user experience option when creating an application using Guided Application Creator?,single-correct,Classic,Correct. Classic is not offered as a user experience option in Guided Application Creator.,Workplace,Incorrect. Workplace is a valid user experience option.,Mobile,Incorrect. Mobile is a valid user experience option.,Portal,Incorrect. Portal is a valid user experience option.,,,,,,,1,Classic UI is not available as a user experience option in the Guided Application Creator.
"Given a table with fields field1, field2, and field3, where READ access is none for Admin and Itil roles on the table, but field3 is readable by Admin only, what fields can the Itil role read?",single-correct,"field1, field2, and field3",Incorrect. Itil role cannot read field3.,field1 and field2,"Correct. Since the table-level READ is none for Itil, but field3 is restricted to Admin only, Itil can read field1 and field2 if not restricted.",field2 and field3,Incorrect. field3 is restricted to Admin only.,field1 and field3,Incorrect. field3 is restricted to Admin only.,,,,,,,2,The Itil role can read fields field1 and field2 but not field3 due to the field-level restriction.
