Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your organization is designing an access strategy for Azure resources. They want a mechanism that allows assigning specific permissions to users, groups, or service principals so that each identity has only the access required to perform its job. What is the primary purpose of Azure Role-Based Access Control (RBAC)?",multiple-choice,To monitor user login attempts from external networks,"This relates to Microsoft Entra ID sign-in logs, not RBAC.",To assign fine-grained permissions to Azure resources based on roles,"Azure RBAC (Role-Based Access Control) is designed to: Define roles made up of permissions; Assign those roles to users, groups, or service principals; Control who can perform which actions (read, write, delete, manage); Enforce the principle of least privilege. It is the standard method for controlling access to Azure resources.",To encrypt data stored in Azure Storage accounts,"Handled by Storage Service Encryption (SSE) or Key Vault, not RBAC.",To configure multi-region failover for high availability,"This is handled by Azure Site Recovery, Azure SQL failover groups, or Azure Traffic Manager, not RBAC.",,,,,2,Azure RBAC is used to control access to Azure resources by assigning roles and permissions to identities.,Azure Architecture and Services
"Azure’s Cool access tier is designed for data that is accessed infrequently and offers lower storage costs than the Hot tier, but requires the data to remain stored for a minimum of 30 days to avoid early deletion charges.",multiple-choice,TRUE,"The Cool access tier in Azure Blob Storage is optimized for: Infrequently accessed data; Lower cost than Hot tier storage; Minimum retention period of 30 days, meaning deleting or moving data before 30 days incurs additional charges. It is ideal for backup data, older media files, or logs not accessed often.",FALSE,"FALSE would imply the Cool tier is not meant for infrequent access or does not require a minimum 30-day retention period, which is not true. That description would more closely match: Hot tier -> optimized for frequent access; Archive tier -> optimized for very infrequent access, but requires 180 days minimum and has high retrieval latency.",,,,,,,,,1,The Cool tier is best for infrequently accessed data with at least a 30-day retention requirement and lower storage costs than Hot tier.,Azure Architecture and Services
Your organization is evaluating different cloud service models. They want to understand which characteristics accurately describe Infrastructure as a Service (IaaS). Which of the following are characteristics of Infrastructure as a Service (IaaS)? (Select two.),multi-select,The customer manages the operating system and applications,"In IaaS, Microsoft provides: Physical datacenter; Servers; Storage; Networking; Virtualization layer. But the customer manages: The VM OS; Patches and updates; Applications; Middleware; Security configuration. This is a defining feature of IaaS.",The cloud provider manages OS patching and application runtime,"This describes PaaS, not IaaS. In IaaS, customers manage the OS.","Hardware resources such as compute, storage, and networking are virtualized",IaaS provides: Virtual machines; Virtual networks; Virtual disks; Load balancers. It gives users full control of the virtualized infrastructure.,The customer cannot control the configuration of the virtual machines,"Incorrect — IaaS gives maximum control, including: VM size selection; OS choice; Network configuration; Storage configuration. This is the opposite of what happens in PaaS or SaaS.",,,,,"1,3","IaaS gives customers control of the OS and applications, while Microsoft provides the physical infrastructure and virtualization layer.",Cloud Concepts
"An organization wants to ensure that its Azure environment follows internal standards for resource naming, tagging, cost management, and security requirements. They need a framework that enforces consistency and ensures that cloud usage aligns with business goals and compliance standards. What is the term for the set of policies and controls used to achieve this alignment?",multiple-choice,Compliance,"Compliance is one part of governance, focused on meeting regulatory requirements—governance is broader.",Governance,"Cloud governance refers to: Policies; Processes; Standards; Controls that ensure cloud usage: Aligns with business goals; Manages risk; Enforces compliance; Controls cost; Maintains consistency across teams. In Azure, governance is achieved through tools like: Azure Policy; Management Groups; RBAC; Blueprints.",Optimization,"Relates to cost and performance improvements (e.g., Azure Advisor), not enforcing organizational rules.",Monitoring,Azure Monitor and Log Analytics track metrics and logs but do not enforce policy or governance rules.,,,,,2,"Governance ensures cloud deployments follow organizational rules, align with business goals, and reduce risk through standardized policies and controls.",Azure Management and Governance
"Your organization is modernizing its security strategy and is adopting a Zero Trust model. Leadership wants to understand the core principles behind this approach, especially how user and device access should be handled. Which of the following are key principles of the Zero Trust security model? (Select two.)",multi-select,"Never trust, always verify","Zero Trust assumes: No user or device is inherently trusted; Every request must be authenticated, authorized, and continuously validated. This applies even inside the corporate network.",Enforce least-privilege access to all resources,Users and devices only receive the minimal permissions required to perform their tasks. This principle reduces the blast radius if an account or device becomes compromised.,Automatically trust all devices once they connect to the corporate network,"This is the old perimeter-based model, not Zero Trust. Zero Trust treats internal and external requests the same: untrusted until verified.",Assume that internal network traffic is inherently safe,"Zero Trust assumes breach is always possible, meaning: Internal traffic must be inspected; Authentication is required everywhere; No implicit trust based on network location.",,,,,"1,2","Zero Trust means “never trust, always verify” and enforce least privilege—trust is not granted based on network location.",Azure Management and Governance
"One of the primary benefits of cloud elasticity in Azure is that resources can automatically scale up during periods of high demand and scale down when demand decreases, helping optimize both performance and cost.",multiple-choice,TRUE,"Elasticity means: Azure automatically adjusts compute, storage, or service capacity; Scaling up/out when demand increases; Scaling down/in when demand decreases; Ensures performance while avoiding unnecessary costs. This is a core advantage of cloud computing and is used in services like: Virtual Machine Scale Sets; Azure App Service autoscale; Azure SQL elastic pools. Elasticity enables organizations to pay only for what they need at any given moment.",FALSE,"False would imply that Azure does not provide automatic scaling capabilities, which contradicts one of the foundational principles of cloud computing.",,,,,,,,,1,"Elasticity allows Azure resources to automatically scale based on demand, optimizing both performance and cost.",Cloud Concepts
Your team is optimizing an application running on a virtual machine in Azure. They decide to increase performance by moving from a VM with 2 vCPUs and 8 GB RAM to a VM with 8 vCPUs and 32 GB RAM. What type of scaling does this represent?,multiple-choice,Horizontal scaling,"Involves adding more instances, not making one instance bigger.",Scaling out,"A synonym for horizontal scaling, meaning adding more VMs or containers to distribute load.",Vertical scaling,"Vertical scaling refers to: Increasing the power of a single machine; Adding more CPU, RAM, or disk performance; Moving to a bigger VM size. Also known as scaling up.",Geographic scaling,"Refers to running workloads in multiple regions, unrelated to VM size changes.",,,,,3,Vertical scaling = scaling up by increasing the size of a single machine. Horizontal scaling = scaling out by adding more machines.,Azure Architecture and Services
"A growing startup wants to avoid upfront hardware purchases and reduce the need for in-house IT management. They also need the ability to scale quickly as their user base grows, without worrying about maintaining physical infrastructure. Which cloud model(s) are typically the best fit for this scenario? (Select two.)",multi-select,Public Cloud,A public cloud (like Azure) is ideal for startups because: No upfront hardware cost; Fast scalability; Pay-as-you-go pricing; Minimal IT maintenance; Quick deployment. Most startups choose public cloud because it maximizes flexibility while minimizing cost and complexity.,Private Cloud,Not suitable for a startup because: Requires significant hardware investment; High management overhead; Limited scalability compared to public cloud.,Hybrid Cloud,"A hybrid cloud can also be appropriate if: The startup has some on-premises systems; They want flexibility to mix cloud scale with on-prem control; They plan to migrate gradually. Hybrid is not always needed for a small startup, but in scenarios where some on-prem workloads exist, it can be a valid option.",Community Cloud,"Used when multiple organizations with shared requirements collaborate (e.g., government or research sectors). Startups almost never use this model.",,,,,"1,3","Startups with limited IT resources benefit most from the public cloud, and may consider hybrid cloud if they need some on-prem integration.",Cloud Concepts
"A government agency needs to store sensitive data that cannot leave its national borders due to legal and regulatory restrictions. They also require cloud services that meet strict, country-specific compliance standards. Which benefit do Azure sovereign regions provide in this scenario?",multiple-choice,Improved application performance for global users,"Sovereign regions are for compliance, not performance optimization. Performance depends on proximity, not sovereignty.",Guaranteed lower operational costs compared to public regions,"Sovereign regions often cost more, not less, due to extra controls and isolation.",Enhanced compliance by ensuring data residency within specific geographic boundaries,"Azure sovereign regions (such as Azure Government or Azure China) are designed to: Store data within specific legal jurisdictions; Meet strict regulatory and compliance requirements; Provide additional security and isolation; Restrict access to organizations that meet eligibility requirements. This reduces compliance risk, especially for government, defense, healthcare, and financial institutions.",Increased scalability beyond what public Azure regions offer,Scalability is similar to public Azure regions and not a unique benefit of sovereign regions.,,,,,3,"Azure sovereign regions are primarily used to meet strict regulatory and data residency requirements, reducing compliance risk.",Azure Management and Governance
"A primary advantage of Platform as a Service (PaaS) compared to Infrastructure as a Service (IaaS) is that developers can focus on application code while Azure automatically handles the underlying infrastructure, runtime, and operating system—resulting in faster development and deployment.",multiple-choice,TRUE,"PaaS eliminates the need to manage: Virtual machines, Operating system patches, Runtime frameworks, Middleware, Load balancing, and Infrastructure scaling. This allows developers to focus on writing and deploying application code, reducing development and maintenance time.",FALSE,"Selecting FALSE would imply that PaaS does not reduce development time or operational effort, which contradicts one of its core advantages.",,,,,,,,,1,PaaS reduces development time by abstracting infrastructure management so teams can focus on building applications.,Cloud Concepts
