Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain,
Which Oracle Cloud Infrastructure (OCI) service helps organizations monitor their resource usage trends and identify potential cost-saving opportunities?,multiple-choice,OCI Resource Manager,"Used for provisioning and managing infrastructure as code, not for cost tracking. Exam trap: Candidates may confuse “resource” with billing.",OCI Cost Analysis,"Provides detailed insights into cloud usage and spending. Allows analysis of patterns, budget management, and cost optimization. Official reference: OCI Cost Analysis Documentation.",OCI Monitoring,"Monitors metrics, logs, and performance of resources, but does not provide cost insights. Common misconception: “Monitoring = cost tracking.”",OCI Service Health Dashboard,"Shows status of OCI services and planned maintenance, not usage or cost.",OCI Identity and Access Management (IAM),"Manages users, groups, and permissions. No cost reporting.",,,2,"OCI Cost Analysis = primary tool for tracking usage & costs. Don’t confuse with Monitoring, Resource Manager, or Service Health. Remember: “Monitoring = performance; Cost Analysis = spend.”","Governance and Administration, Cost Management",
An enterprise wants to proactively prevent unexpected cloud spending in Oracle Cloud Infrastructure (OCI) while allowing automated alerts and notifications. Which of the following strategies would best achieve this goal using native OCI features?,multiple-choice,Enable OCI Budgets with notifications for overspending thresholds.,"OCI Budgets allows enterprises to set spending limits for compartments or projects, receive alerts when thresholds are exceeded, and track forecasted and actual costs. Official reference: OCI Budgets Documentation.",Use OCI Key Management (Vault) to encrypt all billing data.,"Vault secures cryptographic keys and sensitive data. It does not control or monitor cloud spending. Exam trap: Candidates may assume “Vault = cost protection,” which is false.",Configure multiple Availability Domains to separate costs.,"Fault domains and availability domains are for high availability, not billing control. Misconception: “More domains = cost segregation” — incorrect.",Activate Cloud Guard to automatically stop instances when spending exceeds limits.,"Cloud Guard monitors security risks and compliance, but does not stop resources based on cost. Classic exam trap: Security features are often confused with governance features.",,,,,1,"OCI Budgets = primary native feature for automated cost control. Do not confuse security services or infrastructure features with budgeting. Exam tip: “avoid surprise billing” → Budgets, Alerts, Cost Analysis.","Governance and Administration, Cost Management",
A multinational financial services company is deploying workloads in Oracle Cloud Infrastructure (OCI) and wants to implement a comprehensive governance strategy. Which OCI service should form the foundation of the organization’s governance and administration strategy?,multiple-choice,OCI Cloud Guard,Provides automated security monitoring and policy recommendations. Often mistaken as foundational governance but depends on IAM for access control.,OCI Identity and Access Management (IAM),"Manages users, groups, policies, and compartmentalized access. Core service for governance; all other security and compliance controls build on IAM’s policies. Official reference: OCI IAM Overview.",OCI Audit,Provides logs of all API calls for compliance and investigation. Supports governance monitoring but does not enforce policies.,OCI Cost Analysis Tool,Helps track and manage cloud spending. Supports financial governance only.,OCI Service Connector Hub,Enables movement of data between OCI services. Not related to governance or policy enforcement.,,,2,"IAM is the foundation for governance and administration in OCI. All security, compliance, and auditing services rely on IAM policies to control access.","Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
An organization is planning to deploy a mission-critical application on Oracle Cloud Infrastructure (OCI) that must remain available even in the event of infrastructure failures or a regional outage. Which of the following strategies should be implemented to ensure high availability and disaster recovery? Select two.,multiple-select,Deploy application instances across multiple Availability Domains within a single region to mitigate AD-level failures.,Using multiple Availability Domains ensures protection against AD-specific failures. Reference: OCI High Availability Concepts.,Replicate application resources across two or more regions to provide geographical redundancy and disaster recovery.,Multi-region deployment protects against regional outages and is essential for disaster recovery planning. Reference: OCI Disaster Recovery Strategies.,Place all application resources in a single Availability Domain to simplify management and optimize cost.,This reduces resilience; a single AD failure would bring down the application. Exam trap: Cost or simplicity is not a substitute for HA/DR.,Use multiple compartments in a single region to isolate resources for organizational purposes while ensuring HA.,"Compartments are for logical separation and access control, not for availability or DR. Common exam confusion.",Rely exclusively on OCI’s automated failover within a single Availability Domain for disaster recovery.,Single AD failover is not sufficient for true disaster recovery.,,,"1,2",Use AD-level redundancy for availability and region-level redundancy for true disaster recovery. Avoid relying on compartments or single-AD designs.,"Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
A global enterprise is migrating confidential financial data to Oracle Cloud Infrastructure (OCI) and must ensure that all resources comply with corporate and regulatory security policies. Which OCI service or feature should be used primarily to enforce compliance and secure resources in the cloud?,multiple-choice,OCI Identity and Access Management (IAM),IAM controls access permissions but does not automatically enforce resource compliance policies. Necessary but not sufficient.,OCI Security Zones,Security Zones define compartments where resources must comply with pre-configured security policies and prevent deployment of non-compliant resources. Ideal for regulated data. Official reference: OCI Security Zones Documentation.,OCI Object Storage,Provides secure storage but does not actively enforce compliance policies.,OCI Monitoring,Tracks metrics and logs but does not enforce security or compliance controls.,,,,,2,Security Zones are the primary OCI feature for enforcing compliance and regulatory security requirements. IAM complements but cannot replace them.,"Security Services, Governance and Administration",
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,
Which of the following activities is not a function of Oracle Cloud Infrastructure (OCI) Identity and Access Management (IAM)?,Single Choice,Defining and enforcing access policies for users and groups.,❌ IAM’s core function is to define policies that control access to OCI resources. • Correct feature • Reference: Managing Policies in OCI IAM,Authenticating users and federated identities.,❌ IAM provides authentication mechanisms and supports federated users. • Correct feature • Reference: OCI IAM Authentication,Automatically provisioning compute instances and storage resources.,"✔ IAM does not provision resources; this is handled by OCI compute, storage, and networking services. • Common exam trap: Candidates confuse access control with resource creation capabilities. • Reference: OCI IAM Overview",Allowing federation with external identity providers for single sign-on (SSO).,"❌ OCI IAM supports identity federation, enabling SSO from external providers. • Correct feature • Reference: Federation in OCI IAM",,,,,3,"OCI IAM focuses on authentication, authorization, and identity federation. IAM does not handle resource provisioning — that is the responsibility of other OCI services. Exam tip: Always distinguish “access management” vs. “resource creation/management”.","Security Services, Governance and Administration",
"A company is designing a secure cloud infrastructure in Oracle Cloud Infrastructure (OCI) and needs to implement a fully customizable private network that supports multiple subnets, route tables, and gateways. Which OCI service should they use to create this network?",Single Choice,OCI Load Balancer,❌ Distributes incoming network traffic across compute instances. Does not provide private network creation or IP/subnet configuration. Exam trap: Candidates often confuse “network traffic” with “network creation.”,OCI Virtual Cloud Network (VCN),"✔ OCI VCN is a software-defined private network in OCI. Supports custom IP address ranges, subnets, route tables, security lists, and gateways. • Reference: OCI VCN Documentation",OCI Object Storage,❌ Used to store objects and files securely in the cloud. No networking or subnet functionality.,OCI Compute Instances,❌ Provides virtual machines for running workloads. Cannot create or manage VCNs; they must reside inside a subnet of a VCN.,OCI Bastion,❌ Provides secure SSH access to private instances. Does not create or configure networks.,,,2,"VCN = foundation for networking in OCI. Always associate subnets, route tables, gateways, and security lists with a VCN. Exam trap: Traffic-related services (Load Balancer, Bastion) do not create networks.","Core OCI Services, Networking",
"An organization wants to ensure that its databases in Oracle Cloud Infrastructure (OCI) comply with internal security policies and external regulatory standards. The organization needs a service that can automatically identify sensitive information, monitor user activity, and assess security risks in data storage. Which OCI service should they use?",Single Choice,OCI Key Management,"❌ Provides encryption key management for data security, but does not scan or assess sensitive data. Exam trap: Confusing encryption with data discovery/compliance. • Incorrect",OCI Identity and Access Management (IAM),"❌ Manages users, groups, and access policies, but does not analyze sensitive data or compliance risks. • Incorrect",OCI Data Safe,"✔ Automatically discovers sensitive data, evaluates security risks, and helps meet regulatory compliance requirements. Offers features such as user assessment, activity auditing, and security alerts. • Reference: OCI Data Safe Overview • Correct",OCI Cloud Guard,"❌ Detects security threats and misconfigurations, but does not perform sensitive data discovery or compliance assessment. Exam trap: Candidates may confuse threat detection with regulatory compliance monitoring. • Incorrect",OCI Logging,"❌ Collects logs for auditing and monitoring purposes, but does not automatically discover sensitive data or assess compliance risks. • Incorrect",,,3,"OCI Data Safe is the primary service for sensitive data discovery, risk assessment, and compliance auditing. Do not confuse Data Safe with Key Management (encryption), IAM (access control), or Cloud Guard (threat detection). Exam tip: Focus on service purpose, not just security features.","Security Services, Governance and Administration",
Which two functionalities are directly managed by Oracle Cloud Infrastructure (OCI) Identity and Access Management (IAM)? Select two.,Multiple Choice,Assigning users to groups and controlling their access to OCI resources using policies,"✔ Core IAM functionality: managing groups, users, and access via policies. • Reference: OCI IAM Documentation",Configuring dedicated private connections between on-premises data centers and OCI,"❌ This is a feature of OCI Networking (FastConnect / VPN), not IAM. Classic exam trap: “connection/security” sounds like IAM but it is network-related.",Enforcing multi-factor authentication (MFA) and password complexity rules for users,"✔ IAM allows defining password policies, MFA enforcement, and authentication rules. • Reference: OCI Identity and Authentication",Scheduling automated database backups for disaster recovery,"❌ This is provided by OCI Backup / Database service, not IAM. Incorrect because IAM does not handle data durability.",Continuous monitoring of cloud workloads for unusual activity,"❌ Provided by OCI Logging, Monitoring, and Cloud Guard, not IAM. Exam trap: monitoring is security-related but outside IAM’s direct responsibilities.",,,"1,3","IAM = Identity + Access + Authentication. Not responsible for backups, networking, or workload monitoring. Focus on policies, groups, users, password rules, and MFA.",Security Services → Identity and Access Management (IAM),
