Question,Question Type,Answer Option A,Explanation A,Answer Option B,Explanation B,Answer Option C,Explanation C,Answer Option D,Explanation D,Answer Option E,Explanation E,Correct Answers,Overall Explanation,Domain
What are the key advantages of using mobile RF devices for physical inventory counting in SAP EWM? (2 Correct Answers),Multiple Correct, Reduced manual data entry and errors,Direct barcode/RFID scanning reduces manual entry and errors.,Eliminates the need for physical inventory documents,Paper usage is reduced but not fully eliminated., Real-time updates of inventory data in the system,Inventory data updates instantly in SAP EWM., Automatic generation of warehouse tasks for discrepancies,"Depends on configuration, not RF alone.", Not applicable,No additional option.,"A, C",Mobile RF devices improve accuracy and efficiency via real-time updates and reduced errors.,SAP EWM – Physical Inventory
What are the components that are contained within a VAS order? (4 correct),Multiple Correct,Order header,Contains general VAS order information., List of VAS activities,Defines activities like packing or labeling., Bill-of-material,BOM is not a VAS order component.,Items,Products undergoing VAS., Auxiliary products,Materials consumed during VAS.,"A, B, D, E","VAS orders define activities, items, and auxiliary materials under one order.",SAP EWM – VAS
What are the documents created in Labor Management and form the basis for reporting labor utilization? (3 correct),Multiple Correct, Planned workload document,Defines expected labor effort.,Estimated workload document,Not a standard EWM document.,Actual workload document,Captures actual execution time., Executed workload document,Not a standard document.,Performance document,Analyzes efficiency.,"A, C, E","Used for planning, tracking, and performance analysis.",SAP EWM – Labor Management
Which of the following are key elements used to define a delivery document type in the customizing settings of SAP EWM? (2 Correct Answers),Multiple Correct,Warehouse process type,Used for execution control., Document category,Defines delivery behavior., Storage type,Defines warehouse layout., Item type,Controls item-level behavior., Delivery priority,Affects processing order.,"B, D",Delivery document types depend on category and item type.,SAP EWM – Delivery Processing
What are the three components to yard management? (3 correct),Multiple Correct,Yard Monitoring,Tracks TU status.,Yard Movements,Manages TU movements.,Yard Location Management,Defines yard layout., Yard Stock,Not a core component., Not applicable,No additional option.,"A, B, C","Yard management focuses on monitoring, movement, and layout.",SAP EWM – Yard Management
What are the three kitting processes available in EWM? (3 correct),Multiple Correct, Kit-to-order,Kits are created only when a customer order is received., Kit de-stocking,Destocking is not a defined kitting process in EWM., Kit rebuild,Not a standard kitting process in EWM., Kit-to-stock,Kits are pre-assembled and stored for future orders.,Reverse kitting,Kits are disassembled back into individual components.,"A, D, E","EWM supports kit-to-order, kit-to-stock, and reverse kitting to handle different business needs efficiently.",SAP EWM – Kitting
Which of the following statements correctly describe characteristics of warehouse tasks in SAP EWM? (2 Correct Answers),Multiple Correct,warehouse task can only be assigned to a single warehouse worker.,Tasks can be assigned to multiple workers or groups.,Warehouse tasks can be generated automatically or manually.,Tasks can be created automatically by the system or manually by users., Every warehouse task must be confirmed using a mobile RF device.,Tasks can also be confirmed via desktop or voice systems., A warehouse task can involve multiple steps or activities within a warehouse process.,A task may include several activities like picking and putaway.," Warehouse tasks can only be created for handling units (HUs), not for individual products.",Tasks can be created for both HUs and individual products.,"B, D",Warehouse tasks in EWM are flexible in creation and can include multiple activities.,SAP EWM – Warehouse Tasks
What can a mobile user do when working with semi-system-guided processing?,Single Correct,Create ad hoc warehouse tasks,Users work with predefined tasks only., Pick any batch that can be found,Batch picking is not the defining feature., Select the handling unit to be processed,Users can choose the HU while system provides partial guidance., Select the source bin,Source bin is typically system-determined., Not applicable,No additional option.,C,Semi-system-guided processing allows the user to select the handling unit while receiving system guidance.,SAP EWM – Mobile RF Processing
What can a warehouse order include? (2 correct),Multiple Correct,Warehouse tasks,Warehouse orders group multiple warehouse tasks.,Wave items,"Wave items belong to wave management, not warehouse orders.",Physical inventory items,Inventory counting items are grouped into warehouse orders.,Warehouse requests,Requests trigger tasks but are not part of warehouse orders., Not applicable,No additional option.,"A, C",Warehouse orders act as work packages containing tasks or inventory items.,SAP EWM – Warehouse Orders
What can you do with a hotspot in the warehouse management monitor?,Single Correct,Change from list view to form view,Views are changed via buttons or menus., Call a method to perform actions on the selected object,Actions are usually executed via menu options., Create a basic measurement service,Measurement services are defined separately.,Call the corresponding user interface on the selected object,Hotspots navigate directly to related object UIs.,Not applicable,No additional option.,D,Hotspots provide quick navigation to detailed views and related user interfaces.,SAP EWM – Warehouse Monitor
What can you do with a storage group? (2 correct),Multiple Correct, Assign it to multiple storage bins,Storage groups logically contain multiple bins but are not assigned individually.,Use it to define a logical or physical breakdown of a storage type,Storage groups subdivide storage types logically or physically.,Use it in process and layout oriented storage control,Used in storage control strategies to optimize putaway and picking.,Assign it as an intermediate storage group,Intermediate storage groups are separate and not a general function., Not applicable,No additional option.,"A, C",Storage groups help structure storage types and optimize storage control strategies.,SAP EWM – Storage Control
What can you do with a wave? (3 correct),Multiple Correct,Delete the wave,Waves can be deleted if no longer required., Post the goods issue,"Goods issue is posted after task completion, not via wave.", Add or remove items,Wave contents can be adjusted., Release the wave to create the warehouse task,Releasing a wave generates warehouse tasks.,Not applicable,No additional option.,"A, C, D",Waves group warehouse work and can be modified or released to generate tasks.,SAP EWM – Wave Management
What can you do with Dock Appointment scheduling?,Single Correct, Load transportation units,Loading is not performed by dock scheduling., Plan the arrival of vehicles,DAS schedules vehicle arrivals and departures.,Plan waves,Wave planning is a separate function.,Create loading tasks,Tasks are created via deliveries and orders., Not applicable,No additional option.,B,Dock Appointment Scheduling optimizes vehicle arrival and dock utilization.,SAP EWM – Dock Appointment Scheduling
What data is entered in order to perform the availability check? (4 correct),Multiple Correct,Stock type,Defines which stock category is considered., Item,Identifies the material for availability check., Ship-to party,Determines destination influencing availability., Quantity,Specifies required amount., User ID,"Used for logging, not availability check.","A, B, C, D","Availability check evaluates stock based on item, quantity, destination, and stock type.",SAP EWM – Availability Check
What do you control with an activity area? (2 correct),Multiple Correct, The size or volume of a warehouse order,Warehouse order size is independent of activity areas.,The stock search sequence during warehouse task creation for picking,Activity areas influence pick stock search sequence.,The area in which a resource will work in the warehouse,Defines operational zones for resources.,The doors that can be connected to a staging area,Door connections are managed separately., Not applicable,No additional option.,"B, C",Activity areas control picking logic and define resource working zones.,SAP EWM – Activity Areas
What do you influence with a resource group definition?,Single Correct,The work environment of the resources (RF or non-RF),"Work environment depends on device type, not resource group.",The menu on the user's mobile device,Menus are role- and transaction-based., The horizontal and vertical speed of a resource,Speed is a physical or performance attribute., The queues a resource should process,Resource groups control which queues a resource can access.,Not applicable,No additional option.,D,"Resource groups determine which task queues a resource can process, ensuring proper task allocation.",SAP EWM – Resource Management
"What do you need for the preliminary inspection of handling units, inspection object type 6?",Single Correct, A special decision code in EWM,Decision codes record results but do not trigger inspection., An inspection document created using RF,Inspection documents are created automatically.,An inspection rule for relevant HU types,Inspection rules define when and how HU inspections occur.,An inspection type with inspection lot origin 17,Lot origin 17 is used in other QM scenarios.,Not applicable,No additional option.,C,Preliminary HU inspection (object type 6) requires a configured inspection rule.,SAP EWM – Quality Inspection
What do you need to configure before you can create warehouse tasks for an outbound delivery order or inbound delivery? (2 correct),Multiple Correct, Warehouse process type determination,Determines which process type is used for deliveries.,Warehouse process types,Define inbound and outbound warehouse activities., Warehouse order creation rules,Not required for task creation., Putaway or stock removal control indicator,Used for storage control strategies only.,Not applicable,No additional option.,"A, B",Warehouse tasks require defined process types and determination rules.,SAP EWM – Warehouse Task Creation
What do you need to maintain for a capacity check by weight? (2 correct),Multiple Correct, The maximum number of bins in the warehouse product,Not related to weight-based capacity.,The actual weight of the item in a work center,Weight is maintained in product master.,The maximum allowed weight in the bin,Defines bin load limit., The capacity check in the storage type,Activates capacity check by weight., Not applicable,No additional option.,"C, D",Weight-based capacity checks require bin weight limits and activation at storage type level.,SAP EWM – Capacity Management
"In SAP EWM, which of the following are used to manage and customize the data displayed on mobile RF devices for warehouse workers? (2 Correct Answers)",Multiple Correct, Presentation Profile,Controls layout and fields on RF screens., System Profile,Defines system-wide settings only.,User Profile,Stores user-specific RF settings and assignments.,Queue Type,"Used for task prioritization, not display.", Work Center,Represents physical work areas.,"A, C",RF device display customization is controlled using presentation profiles and user profiles.,SAP EWM – Mobile RF
