question_text,question_type,options,correct_answers,marks,explanation
What is the output of print(2 ** 3)?,MCQ,A) 6 B) 8 C) 9 D) 5,8,1,"The ** operator in Python represents exponentiation, so 2 ** 3 = 8."
Which of the following is a mutable data type in Python?,MCQ,A) Tuple B) String C) List D) Int,List,1,"Lists are mutable, meaning their contents can be changed after creation."
What is the correct file extension for Python files?,MCQ,A) .pyth B) .pt C) .py D) .python,.py,1,Python source files use the .py extension.
Which function is used to get input from the user in Python 3?,MCQ,A) get() B) scan() C) input() D) raw_input(),input(),1,"In Python 3, input() is used to read user input from the console."
Which keyword is used to define a function in Python?,MCQ,A) define B) def C) func D) function,def,1,Functions in Python are defined using the 'def' keyword.
Which of the following is used to define a block of code in Python?,MCQ,A) Brackets B) Indentation C) Parentheses D) Key symbols,Indentation,1,"The correct answer is Indentation, as it is the right concept for the question."
Which data type is immutable in Python?,MCQ,A) List B) Dictionary C) Tuple D) Set,Tuple,1,"The correct answer is Tuple, as it is the right concept for the question."
What will be the output of type(3.14)?,MCQ,A) int B) float C) str D) complex,float,1,"The correct answer is float, as it is the right concept for the question."
Which keyword is used to create a class in Python?,MCQ,A) def B) function C) class D) object,class,1,"The correct answer is class, as it is the right concept for the question."
Which of these functions converts a string to lowercase?,MCQ,A) down() B) lower() C) tolower() D) lowercase(),lower(),1,"The correct answer is lower(), as it is the right concept for the question."
What is the output of bool('False')?,MCQ,A) False B) True C) 0 D) Error,True,1,"The correct answer is True, as it is the right concept for the question."
Which of the following is used to handle exceptions?,MCQ,A) do-catch B) try-except C) error-handling D) raise,try-except,1,"The correct answer is try-except, as it is the right concept for the question."
"What will len([1,2,3,4]) return?",MCQ,A) 3 B) 4 C) 5 D) Error,4,1,"The correct answer is 4, as it is the right concept for the question."
Which operator is used for floor division?,MCQ,A) / B) // C) % D) **,//,1,"The correct answer is //, as it is the right concept for the question."
Which method is used to add an element to a list?,MCQ,A) add() B) insert() C) append() D) extend(),append(),1,"The correct answer is append(), as it is the right concept for the question."
What does the 'break' keyword do in Python loops?,MCQ,A) Skips iteration B) Exits the current loop C) Stops program D) None,Exits the current loop,1,"The correct answer is Exits the current loop, as it is the right concept for the question."
Which function returns the absolute value of a number?,MCQ,A) absolute() B) fabs() C) abs() D) value(),abs(),1,"The correct answer is abs(), as it is the right concept for the question."
What is the output of 10 % 3?,MCQ,A) 0 B) 1 C) 2 D) 3,1,1,"The correct answer is 1, as it is the right concept for the question."
