question_text,question_type,options,correct_answers,marks,explanation
"What is Cloud Computing?",SINGLE,"Storing data on local disks|Delivering computing services over the Internet|Offline data management|Manual processing",1,1,"Cloud computing means delivering computing services like servers and storage over the Internet."
"Which of the following is a type of cloud service?",MCQ,"IaaS|SaaS|TaaS|PaaS",0|1|3,2,"The three main cloud service models are IaaS, PaaS, and SaaS."
"Which company offers AWS?",SINGLE,"Google|Microsoft|Amazon|IBM",2,1,"AWS (Amazon Web Services) is provided by Amazon."
"Which of these is an example of SaaS?",SINGLE,"Google Docs|AWS EC2|Microsoft Azure|OpenStack",0,1,"Google Docs is Software as a Service (SaaS)."
"IaaS provides what kind of resources?",SINGLE,"Software applications|Networking and virtual machines|User interfaces|Data encryption",1,1,"IaaS provides virtualized computing resources like VMs and networks."
"PaaS stands for what?",SINGLE,"Platform as a Service|Program as a System|Performance as a Service|Platform and Storage",0,1,"PaaS means Platform as a Service."
"Which of the following are characteristics of Cloud Computing?",MCQ,"On-demand self-service|Limited access|Broad network access|Resource pooling",0|2|3,2,"Cloud computing is on-demand, network-based, and resource-pooled."
"Which is a deployment model of cloud?",MCQ,"Public|Private|Hybrid|Personal",0|1|2,2,"Cloud deployment models include Public, Private, and Hybrid."
"In cloud computing, data is stored where?",SINGLE,"In a local folder|On cloud servers|On CDs|In user RAM",1,1,"Cloud data is stored on remote servers accessible over the Internet."
"Which of these is a public cloud provider?",SINGLE,"AWS|VMware|Docker|RedHat",0,1,"AWS provides public cloud services."
"Which statement about cloud scalability is true?",TRUE_FALSE,"True|False",0,1,"Cloud computing can easily scale resources up or down as needed."
"Which of the following is an example of IaaS?",SINGLE,"AWS EC2|Google Docs|Microsoft Office 365|Dropbox",0,1,"AWS EC2 is an Infrastructure as a Service example."
"Which of the following are examples of PaaS?",MCQ,"Heroku|Google App Engine|AWS EC2|IBM Cloud Foundry",0|1|3,2,"Heroku, Google App Engine, and IBM Cloud Foundry are PaaS examples."
"Which of these is a benefit of cloud computing?",MCQ,"Cost efficiency|Scalability|Data loss|Maintenance complexity",0|1,2,"Cloud computing is cost-effective and scalable."
"Which type of cloud offers the most control to users?",SINGLE,"Public Cloud|Private Cloud|Hybrid Cloud|Community Cloud",1,1,"Private cloud offers full control and customization."
"Which of these are popular cloud providers?",MCQ,"AWS|Google Cloud|Azure|Linux",0|1|2,2,"AWS, Azure, and Google Cloud are the top providers."
"True or False: Cloud computing eliminates all data security risks.",TRUE_FALSE,"True|False",1,1,"Cloud improves security but doesn’t eliminate all risks."
"Which cloud model offers end-user applications?",SINGLE,"IaaS|SaaS|PaaS|DaaS",1,1,"SaaS offers applications directly to users."
"Which of the following are examples of hybrid cloud use?",MCQ,"Data backup across clouds|Integrating private and public clouds|Local-only data use|Isolated servers",0|1,2,"Hybrid clouds combine public and private infrastructures."
"What is virtualization in cloud computing?",SINGLE,"Creating multiple virtual environments from one physical system|Storing files offline|Encrypting data|Designing hardware",0,1,"Virtualization allows multiple virtual machines to run on one host system."
"Which of the following are cloud storage services?",MCQ,"Google Drive|Dropbox|OneDrive|MySQL",0|1|2,2,"Google Drive, Dropbox, and OneDrive are cloud storage services."
"Which of the following is not a cloud provider?",SINGLE,"AWS|Azure|Oracle Cloud|Android",3,1,"Android is not a cloud platform."
"Which service model provides operating systems?",SINGLE,"SaaS|IaaS|PaaS|DaaS",2,1,"PaaS provides an environment including OS and runtime."
"Which of these are true about Public Cloud?",MCQ,"Shared infrastructure|Cost effective|Private access only|Scalable resources",0|1|3,2,"Public clouds are cost-effective and scalable with shared infrastructure."
"Which protocol is commonly used for cloud storage access?",SINGLE,"HTTP|FTP|SMTP|POP3",0,1,"HTTP/HTTPS is commonly used for accessing cloud resources."
"Which are examples of SaaS applications?",MCQ,"Slack|Salesforce|Zoom|Docker",0|1|2,2,"Slack, Salesforce, and Zoom are SaaS apps."
"Cloud computing allows users to pay for what they use.",TRUE_FALSE,"True|False",0,1,"Cloud services use a pay-as-you-go model."
"Which of these helps protect cloud data?",MCQ,"Encryption|Multi-factor Authentication|Leaving data unencrypted|Firewalls",0|1|3,2,"Encryption, MFA, and Firewalls improve cloud security."
"Which is an example of serverless computing?",SINGLE,"AWS Lambda|Google Docs|Azure Storage|Dropbox",0,1,"AWS Lambda is a serverless computing service."
"Which of these are challenges of cloud computing?",MCQ,"Security|Downtime|Scalability|Vendor lock-in",0|1|3,2,"Cloud challenges include security risks, downtime, and vendor lock-in."
